id,campaign_type,channel,topic,started_at,finished_at,total_count,ab_test,warmup_mode,hour_limit,subject_length,subject_with_personalization,subject_with_deadline,subject_with_emoji,subject_with_bonuses,subject_with_discount,subject_with_saleout,is_test,position
63,bulk,mobile_push,sale out,2021-04-30 07:22:36.615023,2021-04-30 07:23:41,48211,,False,,146.0,False,False,True,False,False,False,,
64,bulk,mobile_push,sale out,2021-04-30 09:02:50.817227,2021-04-30 09:04:08,1037337,,False,,97.0,False,False,True,False,False,False,,
78,bulk,mobile_push,sale out,2021-05-06 07:14:10.533318,2021-05-06 07:15:17,70080,,False,,146.0,False,False,True,False,False,False,,
79,bulk,mobile_push,sale out,2021-05-06 09:03:56.486750,2021-05-06 09:42:15,921838,,False,,97.0,False,False,True,False,False,False,,
89,bulk,mobile_push,,2021-05-07 11:54:06.168664,2021-05-07 11:54:38,45503,,False,,109.0,False,True,True,False,False,False,,
110,bulk,mobile_push,sale out,2021-05-12 07:38:32.980268,2021-05-12 07:40:16,90816,,False,,146.0,False,False,True,False,False,False,,
111,bulk,mobile_push,sale out,2021-05-12 07:44:41.865082,2021-05-12 08:16:07,1045217,,False,,97.0,False,False,True,False,False,False,,
129,bulk,email,sale out,2021-05-18 07:38:49.825780,2021-05-18 07:38:58,3,,False,,133.0,False,False,True,False,False,False,,
136,bulk,email,sale out,2021-05-19 07:00:11.121170,2021-05-19 08:03:19,177363,,False,,133.0,False,False,True,False,False,False,,
138,bulk,mobile_push,sale out,2021-05-19 07:00:11.105536,2021-05-19 07:21:42,37889,,False,,146.0,False,False,True,False,False,False,,
139,bulk,mobile_push,sale out,2021-05-19 07:00:11.117030,2021-05-19 07:34:51,72739,,False,,97.0,False,False,True,False,False,False,,
143,bulk,email,sale out,2021-05-20 08:00:16.293566,2021-05-20 08:57:18,283063,,False,,112.0,False,False,True,False,False,False,,
149,bulk,mobile_push,sale out,2021-05-20 13:00:09.995802,2021-05-20 13:00:43,47675,,False,,112.0,False,False,True,False,False,False,,
150,bulk,email,sale out,2021-05-21 07:00:11.471804,2021-05-21 09:39:41,781354,,False,,133.0,False,False,True,False,False,False,,
152,bulk,email,sale out,2021-05-24 07:48:42.153896,2021-05-24 08:43:38,274633,,False,,109.0,False,False,True,False,False,False,,
171,bulk,mobile_push,sale out,2021-05-21 15:54:40.621083,2021-05-21 15:56:28,154495,,False,,84.0,False,False,True,False,False,False,,
174,bulk,mobile_push,sale out,2021-05-23 07:00:11.659380,2021-05-23 07:01:27,86749,,False,,84.0,False,False,True,False,False,False,,
196,bulk,email,event,2021-05-26 10:30:08.482930,2021-05-26 10:31:11,6373,,False,,185.0,True,False,True,False,True,False,,
217,bulk,mobile_push,event,2021-05-26 10:30:08.501894,2021-05-26 10:30:14,1674,,False,,96.0,False,False,True,False,False,False,,
